严重性	代码	说明	项目	文件	行	禁止显示状态
错误	LNK2019	无法解析的外部符号 "class cv::MatExpr __cdecl cv::operator*(class cv::MatExpr const &,double)" (??Dcv@@YA?AVMatExpr@0@ABV10@N@Z)，该符号在函数 "private: double __thiscall DetectionValidator::CheckCNN(class cv::Mat_<double> const &,int)" (?CheckCNN@DetectionValidator@@AAENABV?$Mat_@N@cv@@H@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "class cv::MatExpr __cdecl cv::operator*(double,class cv::Mat const &)" (??Dcv@@YA?AVMatExpr@0@NABVMat@0@@Z)，该符号在函数 "public: void __thiscall PDM::CalcParams(class cv::Vec<double,6> &,class cv::Mat_<double> const &,class cv::Mat_<double> const &,class cv::Vec<double,3>)" (?CalcParams@PDM@@QAEXAAV?$Vec@N$05@cv@@ABV?$Mat_@N@3@1V?$Vec@N$02@3@@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "class cv::MatExpr __cdecl cv::operator*(double,class cv::MatExpr const &)" (??Dcv@@YA?AVMatExpr@0@NABV10@@Z)，该符号在函数 "public: void __thiscall PDM::CalcParams(class cv::Vec<double,6> &,class cv::Mat_<double> const &,class cv::Mat_<double> const &,class cv::Vec<double,3>)" (?CalcParams@PDM@@QAEXAAV?$Vec@N$05@cv@@ABV?$Mat_@N@3@1V?$Vec@N$02@3@@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "class cv::MatExpr __cdecl cv::operator+(class cv::Mat const &,class cv::Mat const &)" (??Hcv@@YA?AVMatExpr@0@ABVMat@0@0@Z)，该符号在函数 "public: void __thiscall PDM::CalcParams(class cv::Vec<double,6> &,class cv::Mat_<double> const &,class cv::Mat_<double> const &,class cv::Vec<double,3>)" (?CalcParams@PDM@@QAEXAAV?$Vec@N$05@cv@@ABV?$Mat_@N@3@1V?$Vec@N$02@3@@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "class cv::MatExpr __cdecl cv::operator+(class cv::Mat const &,class cv::MatExpr const &)" (??Hcv@@YA?AVMatExpr@0@ABVMat@0@ABV10@@Z)，该符号在函数 "public: void __thiscall PDM::CalcParams(class cv::Vec<double,6> &,class cv::Mat_<double> const &,class cv::Mat_<double> const &,class cv::Vec<double,3>)" (?CalcParams@PDM@@QAEXAAV?$Vec@N$05@cv@@ABV?$Mat_@N@3@1V?$Vec@N$02@3@@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "class cv::MatExpr __cdecl cv::operator+(class cv::Mat const &,class cv::Scalar_<double> const &)" (??Hcv@@YA?AVMatExpr@0@ABVMat@0@ABV?$Scalar_@N@0@@Z)，该符号在函数 "public: void __thiscall PDM::CalcParams(class cv::Vec<double,6> &,class cv::Mat_<double> const &,class cv::Mat_<double> const &,class cv::Vec<double,3>)" (?CalcParams@PDM@@QAEXAAV?$Vec@N$05@cv@@ABV?$Mat_@N@3@1V?$Vec@N$02@3@@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "class cv::MatExpr __cdecl cv::operator+(class cv::MatExpr const &,class cv::MatExpr const &)" (??Hcv@@YA?AVMatExpr@0@ABV10@0@Z)，该符号在函数 "void __cdecl EstimateGaze(class CLM const &,class cv::Point3_<float> &,class cv::Point3_<float> &,float,float,float,float,bool)" (?EstimateGaze@@YAXABVCLM@@AAV?$Point3_@M@cv@@1MMMM_N@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "class cv::MatExpr __cdecl cv::operator+(class cv::Scalar_<double> const &,class cv::Mat const &)" (??Hcv@@YA?AVMatExpr@0@ABV?$Scalar_@N@0@ABVMat@0@@Z)，该符号在函数 "private: double __thiscall DetectionValidator::CheckCNN(class cv::Mat_<double> const &,int)" (?CheckCNN@DetectionValidator@@AAENABV?$Mat_@N@cv@@H@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "class cv::MatExpr __cdecl cv::operator-(class cv::Mat const &)" (??Gcv@@YA?AVMatExpr@0@ABVMat@0@@Z)，该符号在函数 "private: double __thiscall DetectionValidator::CheckCNN(class cv::Mat_<double> const &,int)" (?CheckCNN@DetectionValidator@@AAENABV?$Mat_@N@cv@@H@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "class cv::MatExpr __cdecl cv::operator-(class cv::Mat const &,class cv::Mat const &)" (??Gcv@@YA?AVMatExpr@0@ABVMat@0@0@Z)，该符号在函数 "class cv::Matx<double,2,2> __cdecl AlignShapesWithScale(class cv::Mat_<double> &,class cv::Mat_<double>)" (?AlignShapesWithScale@@YA?AV?$Matx@N$01$01@cv@@AAV?$Mat_@N@2@V32@@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "class cv::MatExpr __cdecl cv::operator-(class cv::Mat const &,class cv::MatExpr const &)" (??Gcv@@YA?AVMatExpr@0@ABVMat@0@ABV10@@Z)，该符号在函数 "public: void __thiscall PDM::CalcParams(class cv::Vec<double,6> &,class cv::Mat_<double> const &,class cv::Mat_<double> const &,class cv::Vec<double,3>)" (?CalcParams@PDM@@QAEXAAV?$Vec@N$05@cv@@ABV?$Mat_@N@3@1V?$Vec@N$02@3@@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "class cv::MatExpr __cdecl cv::operator-(class cv::Mat const &,class cv::Scalar_<double> const &)" (??Gcv@@YA?AVMatExpr@0@ABVMat@0@ABV?$Scalar_@N@0@@Z)，该符号在函数 "class cv::Matx<double,2,2> __cdecl AlignShapesWithScale(class cv::Mat_<double> &,class cv::Mat_<double>)" (?AlignShapesWithScale@@YA?AV?$Matx@N$01$01@cv@@AAV?$Mat_@N@2@V32@@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "class cv::MatExpr __cdecl cv::operator-(class cv::MatExpr const &,class cv::Scalar_<double> const &)" (??Gcv@@YA?AVMatExpr@0@ABV10@ABV?$Scalar_@N@0@@Z)，该符号在函数 "private: double __thiscall DetectionValidator::CheckCNN(class cv::Mat_<double> const &,int)" (?CheckCNN@DetectionValidator@@AAENABV?$Mat_@N@cv@@H@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "class cv::MatExpr __cdecl cv::operator/(class cv::Mat const &,double)" (??Kcv@@YA?AVMatExpr@0@ABVMat@0@N@Z)，该符号在函数 "class cv::Matx<double,2,2> __cdecl AlignShapesWithScale(class cv::Mat_<double> &,class cv::Mat_<double>)" (?AlignShapesWithScale@@YA?AV?$Matx@N$01$01@cv@@AAV?$Mat_@N@2@V32@@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "class cv::MatExpr __cdecl cv::operator/(class cv::MatExpr const &,class cv::Mat const &)" (??Kcv@@YA?AVMatExpr@0@ABV10@ABVMat@0@@Z)，该符号在函数 "private: void __thiscall DetectionValidator::NormaliseWarpedToVector(class cv::Mat_<double> const &,class cv::Mat_<double> &,int)" (?NormaliseWarpedToVector@DetectionValidator@@AAEXABV?$Mat_@N@cv@@AAV23@H@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "class cv::MatExpr __cdecl cv::operator/(class cv::MatExpr const &,double)" (??Kcv@@YA?AVMatExpr@0@ABV10@N@Z)，该符号在函数 "private: double __thiscall DetectionValidator::CheckCNN(class cv::Mat_<double> const &,int)" (?CheckCNN@DetectionValidator@@AAENABV?$Mat_@N@cv@@H@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "class cv::MatExpr __cdecl cv::operator/(double,class cv::Mat const &)" (??Kcv@@YA?AVMatExpr@0@NABVMat@0@@Z)，该符号在函数 "public: void __thiscall PDM::CalcParams(class cv::Vec<double,6> &,class cv::Mat_<double> const &,class cv::Mat_<double> const &,class cv::Vec<double,3>)" (?CalcParams@PDM@@QAEXAAV?$Vec@N$05@cv@@ABV?$Mat_@N@3@1V?$Vec@N$02@3@@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "class cv::MatExpr __cdecl cv::operator/(double,class cv::MatExpr const &)" (??Kcv@@YA?AVMatExpr@0@NABV10@@Z)，该符号在函数 "private: double __thiscall DetectionValidator::CheckCNN(class cv::Mat_<double> const &,int)" (?CheckCNN@DetectionValidator@@AAENABV?$Mat_@N@cv@@H@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "class cv::MatExpr __cdecl cv::operator<(class cv::Mat const &,double)" (??Mcv@@YA?AVMatExpr@0@ABVMat@0@N@Z)，该符号在函数 "public: void __thiscall Patch_experts::Response(class std::vector<class cv::Mat_<float>,class std::allocator<class cv::Mat_<float> > > &,class cv::Matx<float,2,2> &,class cv::Matx<double,2,2> &,class cv::Mat_<unsigned char> const &,class cv::Mat_<float> const &,class PDM const &,class cv::Vec<double,6> const &,class cv::Mat_<double> const &,int,int)" (?Response@Patch_experts@@QAEXAAV?$vector@V?$Mat_@M@cv@@V?$allocator@V?$Mat_@M@cv@@@std@@@std@@AAV?$Matx@M$01$01@cv@@AAV?$Matx@N$01$01@5@ABV?$Mat_@E@5@ABV?$Mat_@M@5@ABVPDM@@ABV?$Vec@N$05@5@ABV?$Mat_@N@5@HH@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "class cv::MatExpr __cdecl cv::operator==(class cv::Mat const &,double)" (??8cv@@YA?AVMatExpr@0@ABVMat@0@N@Z)，该符号在函数 "public: void __thiscall CCNF_neuron::Response(class cv::Mat_<float> &,class cv::Mat_<double> &,class cv::Mat &,class cv::Mat &,class cv::Mat_<float> &)" (?Response@CCNF_neuron@@QAEXAAV?$Mat_@M@cv@@AAV?$Mat_@N@3@AAVMat@3@20@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "class cv::MatExpr __cdecl cv::operator>(class cv::Mat const &,double)" (??Ocv@@YA?AVMatExpr@0@ABVMat@0@N@Z)，该符号在函数 "private: bool __thiscall CLM::RemoveBackground(class cv::Mat_<float> &,class cv::Mat_<float> const &)" (?RemoveBackground@CLM@@AAE_NAAV?$Mat_@M@cv@@ABV23@@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "class cv::Scalar_<double> __cdecl cv::mean(class cv::_InputArray const &,class cv::_InputArray const &)" (?mean@cv@@YA?AV?$Scalar_@N@1@ABV_InputArray@1@0@Z)，该符号在函数 "class cv::Matx<double,2,2> __cdecl AlignShapesWithScale(class cv::Mat_<double> &,class cv::Mat_<double>)" (?AlignShapesWithScale@@YA?AV?$Matx@N$01$01@cv@@AAV?$Mat_@N@2@V32@@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "class cv::Scalar_<double> __cdecl cv::sum(class cv::_InputArray const &)" (?sum@cv@@YA?AV?$Scalar_@N@1@ABV_InputArray@1@@Z)，该符号在函数 "class cv::Matx<double,2,2> __cdecl AlignShapesWithScale(class cv::Mat_<double> &,class cv::Mat_<double>)" (?AlignShapesWithScale@@YA?AV?$Matx@N$01$01@cv@@AAV?$Mat_@N@2@V32@@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "class cv::Scalar_<double> __cdecl cv::trace(class cv::_InputArray const &)" (?trace@cv@@YA?AV?$Scalar_@N@1@ABV_InputArray@1@@Z)，该符号在函数 "public: void __thiscall PDM::ComputeJacobian(class cv::Mat_<float> const &,class cv::Vec<double,6> const &,class cv::Mat_<float> &,class cv::Mat_<float>,class cv::Mat_<float> &)" (?ComputeJacobian@PDM@@QAEXABV?$Mat_@M@cv@@ABV?$Vec@N$05@3@AAV23@V23@2@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "class cv::_InputOutputArray const & __cdecl cv::noArray(void)" (?noArray@cv@@YAABV_InputOutputArray@1@XZ)，该符号在函数 "class cv::Mat_<double> & __cdecl cv::operator-=<double>(class cv::Mat_<double> &,class cv::Scalar_<double> const &)" (??$?ZN@cv@@YAAAV?$Mat_@N@0@AAV10@ABV?$Scalar_@N@0@@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "double __cdecl cv::determinant(class cv::_InputArray const &)" (?determinant@cv@@YANABV_InputArray@1@@Z)，该符号在函数 "class cv::Matx<double,2,2> __cdecl AlignShapesKabsch2D(class cv::Mat_<double> const &,class cv::Mat_<double> const &)" (?AlignShapesKabsch2D@@YA?AV?$Matx@N$01$01@cv@@ABV?$Mat_@N@2@0@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "double __cdecl cv::getTickFrequency(void)" (?getTickFrequency@cv@@YANXZ)，该符号在函数 _main 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "double __cdecl cv::invert(class cv::_InputArray const &,class cv::_OutputArray const &,int)" (?invert@cv@@YANABV_InputArray@1@ABV_OutputArray@1@H@Z)，该符号在函数 "public: void __thiscall CCNF_patch_expert::ComputeSigmas(class std::vector<class cv::Mat_<float>,class std::allocator<class cv::Mat_<float> > > const &,int)" (?ComputeSigmas@CCNF_patch_expert@@QAEXABV?$vector@V?$Mat_@M@cv@@V?$allocator@V?$Mat_@M@cv@@@std@@@std@@H@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "double __cdecl cv::norm(class cv::_InputArray const &,class cv::_InputArray const &,int,class cv::_InputArray const &)" (?norm@cv@@YANABV_InputArray@1@0H0@Z)，该符号在函数 "public: int __thiscall DetectionValidator::GetViewId(class cv::Vec<double,3> const &)const " (?GetViewId@DetectionValidator@@QBEHABV?$Vec@N$02@cv@@@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "double __cdecl cv::norm(class cv::_InputArray const &,int,class cv::_InputArray const &)" (?norm@cv@@YANABV_InputArray@1@H0@Z)，该符号在函数 "public: void __thiscall PDM::CalcParams(class cv::Vec<double,6> &,class cv::Mat_<double> const &,class cv::Mat_<double> const &,class cv::Vec<double,3>)" (?CalcParams@PDM@@QAEXAAV?$Vec@N$05@cv@@ABV?$Mat_@N@3@1V?$Vec@N$02@3@@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "int __cdecl cv::countNonZero(class cv::_InputArray const &)" (?countNonZero@cv@@YAHABV_InputArray@1@@Z)，该符号在函数 "public: void __thiscall Patch_experts::Read(class std::vector<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >,class std::vector<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >,class std::vector<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >)" (?Read@Patch_experts@@QAEXV?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@std@@00@Z) 
错误	LNK2019	无法解析的外部符号 "int __cdecl cv::getOptimalDFTSize(int)" (?getOptimalDFTSize@cv@@YAHH@Z)，该符号在函数 "void __cdecl crossCorr_m(class cv::Mat_<float> const &,class cv::Mat_<double> &,class cv::Mat_<float> const &,class std::map<int,class cv::Mat_<double>,struct std::less<int>,class std::allocator<struct std::pair<int const ,class cv::Mat_<double> > > > &,class cv::Mat_<float> &)" (?crossCorr_m@@YAXABV?$Mat_@M@cv@@AAV?$Mat_@N@2@0AAV?$map@HV?$Mat_@N@cv@@U?$less@H@std@@V?$allocator@U?$pair@$$CBHV?$Mat_@N@cv@@@std@@@4@@std@@AAV12@@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "int __cdecl cv::waitKey(int)" (?waitKey@cv@@YAHH@Z)，该符号在函数 _main 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "private: char * __thiscall cv::String::allocate(unsigned int)" (?allocate@String@cv@@AAEPADI@Z)，该符号在函数 "public: __thiscall cv::String::String(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &)" (??0String@cv@@QAE@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "private: void __thiscall cv::String::deallocate(void)" (?deallocate@String@cv@@AAEXXZ)，该符号在函数 "public: __thiscall cv::String::~String(void)" (??1String@cv@@QAE@XZ) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "public: class cv::Mat & __thiscall cv::Mat::operator=(class cv::Scalar_<double> const &)" (??4Mat@cv@@QAEAAV01@ABV?$Scalar_@N@1@@Z)，该符号在函数 "public: class cv::Mat_<unsigned char> & __thiscall cv::Mat_<unsigned char>::operator=(unsigned char const &)" (??4?$Mat_@E@cv@@QAEAAV01@ABE@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "public: class cv::Mat & __thiscall cv::Mat::setTo(class cv::_InputArray const &,class cv::_InputArray const &)" (?setTo@Mat@cv@@QAEAAV12@ABV_InputArray@2@0@Z)，该符号在函数 "bool __cdecl DetectLandmarksInImage(class cv::Mat_<unsigned char> const &,class cv::Mat_<float>,class cv::Rect_<double>,class CLM &,struct CLMParameters &)" (?DetectLandmarksInImage@@YA_NABV?$Mat_@E@cv@@V?$Mat_@M@2@V?$Rect_@N@2@AAVCLM@@AAUCLMParameters@@@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "public: class cv::Mat __thiscall cv::Mat::reshape(int,int)const " (?reshape@Mat@cv@@QBE?AV12@HH@Z)，该符号在函数 "public: void __thiscall PDM::CalcParams(class cv::Vec<double,6> &,class cv::Mat_<double> const &,class cv::Mat_<double> const &,class cv::Vec<double,3>)" (?CalcParams@PDM@@QAEXAAV?$Vec@N$05@cv@@ABV?$Mat_@N@3@1V?$Vec@N$02@3@@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "public: class cv::Mat __thiscall cv::Mat::reshape(int,int,int const *)const " (?reshape@Mat@cv@@QBE?AV12@HHPBH@Z)，该符号在函数 "public: class cv::Mat_<unsigned char> & __thiscall cv::Mat_<unsigned char>::operator=(class cv::Mat const &)" (??4?$Mat_@E@cv@@QAEAAV01@ABVMat@1@@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "public: class cv::MatExpr __thiscall cv::Mat::mul(class cv::_InputArray const &,double)const " (?mul@Mat@cv@@QBE?AVMatExpr@2@ABV_InputArray@2@N@Z)，该符号在函数 "private: bool __thiscall CLM::RemoveBackground(class cv::Mat_<float> &,class cv::Mat_<float> const &)" (?RemoveBackground@CLM@@AAE_NAAV?$Mat_@M@cv@@ABV23@@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "public: class cv::MatExpr __thiscall cv::Mat::t(void)const " (?t@Mat@cv@@QBE?AVMatExpr@2@XZ)，该符号在函数 "class cv::Matx<double,2,2> __cdecl AlignShapesKabsch2D(class cv::Mat_<double> const &,class cv::Mat_<double> const &)" (?AlignShapesKabsch2D@@YA?AV?$Matx@N$01$01@cv@@ABV?$Mat_@N@2@0@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "public: class cv::MatExpr __thiscall cv::MatExpr::t(void)const " (?t@MatExpr@cv@@QBE?AV12@XZ)，该符号在函数 "void __cdecl EstimateGaze(class CLM const &,class cv::Point3_<float> &,class cv::Point3_<float> &,float,float,float,float,bool)" (?EstimateGaze@@YAXABVCLM@@AAV?$Point3_@M@cv@@1MMMM_N@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "public: class cv::SVD & __thiscall cv::SVD::operator()(class cv::_InputArray const &,int)" (??RSVD@cv@@QAEAAV01@ABV_InputArray@1@H@Z)，该符号在函数 "public: __thiscall cv::SVD::SVD(class cv::_InputArray const &,int)" (??0SVD@cv@@QAE@ABV_InputArray@1@H@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "public: double __thiscall cv::Mat::dot(class cv::_InputArray const &)const " (?dot@Mat@cv@@QBENABV_InputArray@2@@Z)，该符号在函数 "private: double __thiscall DetectionValidator::CheckSVR(class cv::Mat_<double> const &,int)" (?CheckSVR@DetectionValidator@@AAENABV?$Mat_@N@cv@@H@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
